text,cleaned_text
"Communal violence in Bhainsa, Telangana. ""Stones were pelted on Muslims' houses and some houses and vehicles were set ablaze…","['communal', 'violence', 'bhainsa', 'telangana', 'stones', 'pelted', 'muslims', 'houses', 'houses', 'vehicles', 'set', 'ablaze']"
"Telangana: Section 144 has been imposed in Bhainsa from January 13 to 15, after clash erupted between two groups on January 12. Po…","['telangana', 'section', 'imposed', 'bhainsa', 'january', 'clash', 'erupted', 'two', 'groups', 'january', 'po']"
Arsonist sets cars ablaze at dealership https://t.co/gOQvyJbpVI,"['arsonist', 'sets', 'cars', 'ablaze', 'dealership']"
Arsonist sets cars ablaze at dealership https://t.co/0gL7NUCPlb https://t.co/u1CcBhOWh9,"['arsonist', 'sets', 'cars', 'ablaze', 'dealership']"
"""Lord Jesus, your love brings freedom and pardon. Fill me with your Holy Spirit and set my heart ablaze with your l… https://t.co/VlTznnPNi8","['lord', 'jesus', 'love', 'brings', 'freedom', 'pardon', 'fill', 'holy', 'spirit', 'set', 'heart', 'ablaze', 'l']"
"If this child was Chinese, this tweet would have gone viral. Social media would be ablaze. SNL would have made a racist j…","['child', 'chinese', 'tweet', 'would', 'gone', 'viral', 'social', 'media', 'would', 'ablaze', 'snl', 'would', 'made', 'racist', 'j']"
"Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2","['several', 'houses', 'set', 'ablaze', 'ngemsibaa', 'village', 'oku', 'sub', 'division', 'north', 'west', 'region', 'cameroon']"
Asansol: A BJP office in Salanpur village was set ablaze last night. BJP has alleged that TMC is behind the incident. Police has b…,"['asansol', 'bjp', 'office', 'salanpur', 'village', 'set', 'ablaze', 'last', 'night', 'bjp', 'alleged', 'tmc', 'behind', 'incident', 'police', 'b']"
"National Security Minister, Kan Dapaah's side chic has set the internet ablaze with her latest powerful video.… https://t.co/rhzOMQVSlj","['national', 'security', 'minister', 'kan', 'dapaah', 'side', 'chic', 'set', 'internet', 'ablaze', 'latest', 'powerful', 'video']"
This creature who’s soul is no longer clarent but blue ablaze This thing Carrying memories Memories of… https://t.co/tBKSNDrDoX,"['creature', 'soul', 'longer', 'clarent', 'blue', 'ablaze', 'thing', 'carrying', 'memories', 'memories']"
Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is reported…,"['images', 'showing', 'havoc', 'caused', 'cameroon', 'military', 'torched', 'houses', 'oku', 'shameless', 'military', 'reported']"
Social media went bananas after Chuba Hubbard announced Monday evening his plans to return to #okstate. https://t.co/peN…,"['social', 'media', 'went', 'bananas', 'chuba', 'hubbard', 'announced', 'monday', 'evening', 'plans', 'return', 'okstate']"
Hausa youths set Area Office of Apapa-Iganmu Local Council Development Area ablaze. Okada Riders stormed the LG area office…,"['hausa', 'youths', 'set', 'area', 'office', 'apapa', 'iganmu', 'local', 'council', 'development', 'area', 'ablaze', 'okada', 'riders', 'stormed', 'lg', 'area', 'office']"
Under #MamataBanerjee political violence &amp; vandalism continues to unabated in West Bengal! office in Asanol was…,"['mamatabanerjee', 'political', 'violence', 'amp', 'vandalism', 'continues', 'unabated', 'west', 'bengal', 'office', 'asanol']"
"AMEN! Set the whole system ablaze, man. https://t.co/J08xHDcGbD","['amen', 'set', 'whole', 'system', 'ablaze', 'man']"
Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is… https://t.co/gIwZCH533D,"['images', 'showing', 'havoc', 'caused', 'cameroon', 'military', 'torched', 'houses', 'oku', 'shameless', 'military']"
No cows today but our local factory is sadly still ablaze #REDJanuary2020 https://t.co/CMyuKzrcKz,"['cows', 'today', 'local', 'factory', 'sadly', 'still', 'ablaze', 'redjanuary']"
Rengoku sets my heart ablaze😔❤️🔥 P.s. I missed this style of coloring I do so here it is c: #鬼滅の刃 https://t.co/YrUF9g68s0,"['rengoku', 'sets', 'heart', 'ablaze', 'p', 'missed', 'style', 'coloring', 'c']"
paulzizkaphoto: “Rundle Ablaze” Wishing you all a good evening... https://t.co/d0NlME1HQz https://t.co/hlVlT6qiIp,"['paulzizkaphoto', 'rundle', 'ablaze', 'wishing', 'good', 'evening']"
